,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
3521,Brazil,Yams,1999,92000,1761.0,127585.0,21.59
3522,Brazil,Yams,1999,92000,1761.0,127585.0,20.04
3523,Brazil,Yams,1999,92000,1761.0,127585.0,17.66
3524,Brazil,Yams,1999,92000,1761.0,127585.0,17.66
3525,Brazil,Yams,1999,92000,1761.0,127585.0,27.64
3526,Brazil,Yams,1999,92000,1761.0,127585.0,20.04
3527,Brazil,Yams,1999,92000,1761.0,127585.0,26.66
3528,Brazil,Yams,1999,92000,1761.0,127585.0,18.39
3529,Brazil,Yams,1999,92000,1761.0,127585.0,25.88
3530,Brazil,Yams,1999,92000,1761.0,127585.0,24.01
3531,Brazil,Yams,1999,92000,1761.0,127585.0,25.32
3532,Brazil,Cassava,2000,134815,1761.0,140423.0,21.69
3533,Brazil,Cassava,2000,134815,1761.0,140423.0,20.32
3534,Brazil,Cassava,2000,134815,1761.0,140423.0,18.01
3535,Brazil,Cassava,2000,134815,1761.0,140423.0,18.01
3536,Brazil,Cassava,2000,134815,1761.0,140423.0,27.5
3537,Brazil,Cassava,2000,134815,1761.0,140423.0,20.32
3538,Brazil,Cassava,2000,134815,1761.0,140423.0,26.82
3539,Brazil,Cassava,2000,134815,1761.0,140423.0,18.65
3540,Brazil,Cassava,2000,134815,1761.0,140423.0,25.71
3541,Brazil,Cassava,2000,134815,1761.0,140423.0,24.36
3542,Brazil,Cassava,2000,134815,1761.0,140423.0,25.35
3543,Brazil,Maize,2000,27182,1761.0,140423.0,21.69
3544,Brazil,Maize,2000,27182,1761.0,140423.0,20.32
3545,Brazil,Maize,2000,27182,1761.0,140423.0,18.01
3546,Brazil,Maize,2000,27182,1761.0,140423.0,18.01
3547,Brazil,Maize,2000,27182,1761.0,140423.0,27.5
3548,Brazil,Maize,2000,27182,1761.0,140423.0,20.32
3549,Brazil,Maize,2000,27182,1761.0,140423.0,26.82
3550,Brazil,Maize,2000,27182,1761.0,140423.0,18.65
3551,Brazil,Maize,2000,27182,1761.0,140423.0,25.71
3552,Brazil,Maize,2000,27182,1761.0,140423.0,24.36
3553,Brazil,Maize,2000,27182,1761.0,140423.0,25.35
3554,Brazil,Potatoes,2000,171813,1761.0,140423.0,21.69
3555,Brazil,Potatoes,2000,171813,1761.0,140423.0,20.32
3556,Brazil,Potatoes,2000,171813,1761.0,140423.0,18.01
3557,Brazil,Potatoes,2000,171813,1761.0,140423.0,18.01
3558,Brazil,Potatoes,2000,171813,1761.0,140423.0,27.5
3559,Brazil,Potatoes,2000,171813,1761.0,140423.0,20.32
3560,Brazil,Potatoes,2000,171813,1761.0,140423.0,26.82
3561,Brazil,Potatoes,2000,171813,1761.0,140423.0,18.65
3562,Brazil,Potatoes,2000,171813,1761.0,140423.0,25.71
3563,Brazil,Potatoes,2000,171813,1761.0,140423.0,24.36
3564,Brazil,Potatoes,2000,171813,1761.0,140423.0,25.35
3565,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,21.69
3566,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,20.32
3567,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,18.01
3568,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,18.01
3569,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,27.5
3570,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,20.32
3571,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,26.82
3572,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,18.65
3573,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,25.71
3574,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,24.36
3575,Brazil,"Rice, paddy",2000,30382,1761.0,140423.0,25.35
3576,Brazil,Sorghum,2000,15013,1761.0,140423.0,21.69
3577,Brazil,Sorghum,2000,15013,1761.0,140423.0,20.32
3578,Brazil,Sorghum,2000,15013,1761.0,140423.0,18.01
3579,Brazil,Sorghum,2000,15013,1761.0,140423.0,18.01
3580,Brazil,Sorghum,2000,15013,1761.0,140423.0,27.5
3581,Brazil,Sorghum,2000,15013,1761.0,140423.0,20.32
3582,Brazil,Sorghum,2000,15013,1761.0,140423.0,26.82
3583,Brazil,Sorghum,2000,15013,1761.0,140423.0,18.65
3584,Brazil,Sorghum,2000,15013,1761.0,140423.0,25.71
3585,Brazil,Sorghum,2000,15013,1761.0,140423.0,24.36
3586,Brazil,Sorghum,2000,15013,1761.0,140423.0,25.35
3587,Brazil,Soybeans,2000,24033,1761.0,140423.0,21.69
3588,Brazil,Soybeans,2000,24033,1761.0,140423.0,20.32
3589,Brazil,Soybeans,2000,24033,1761.0,140423.0,18.01
3590,Brazil,Soybeans,2000,24033,1761.0,140423.0,18.01
3591,Brazil,Soybeans,2000,24033,1761.0,140423.0,27.5
3592,Brazil,Soybeans,2000,24033,1761.0,140423.0,20.32
3593,Brazil,Soybeans,2000,24033,1761.0,140423.0,26.82
3594,Brazil,Soybeans,2000,24033,1761.0,140423.0,18.65
3595,Brazil,Soybeans,2000,24033,1761.0,140423.0,25.71
3596,Brazil,Soybeans,2000,24033,1761.0,140423.0,24.36
3597,Brazil,Soybeans,2000,24033,1761.0,140423.0,25.35
3598,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,21.69
3599,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,20.32
3600,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,18.01
3601,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,18.01
3602,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,27.5
3603,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,20.32
3604,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,26.82
3605,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,18.65
3606,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,25.71
3607,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,24.36
3608,Brazil,Sweet potatoes,2000,110351,1761.0,140423.0,25.35
3609,Brazil,Wheat,2000,15156,1761.0,140423.0,21.69
3610,Brazil,Wheat,2000,15156,1761.0,140423.0,20.32
3611,Brazil,Wheat,2000,15156,1761.0,140423.0,18.01
3612,Brazil,Wheat,2000,15156,1761.0,140423.0,18.01
3613,Brazil,Wheat,2000,15156,1761.0,140423.0,27.5
3614,Brazil,Wheat,2000,15156,1761.0,140423.0,20.32
3615,Brazil,Wheat,2000,15156,1761.0,140423.0,26.82
3616,Brazil,Wheat,2000,15156,1761.0,140423.0,18.65
3617,Brazil,Wheat,2000,15156,1761.0,140423.0,25.71
3618,Brazil,Wheat,2000,15156,1761.0,140423.0,24.36
3619,Brazil,Wheat,2000,15156,1761.0,140423.0,25.35
3620,Brazil,Yams,2000,91522,1761.0,140423.0,21.69
3621,Brazil,Yams,2000,91522,1761.0,140423.0,20.32
3622,Brazil,Yams,2000,91522,1761.0,140423.0,18.01
3623,Brazil,Yams,2000,91522,1761.0,140423.0,18.01
3624,Brazil,Yams,2000,91522,1761.0,140423.0,27.5
3625,Brazil,Yams,2000,91522,1761.0,140423.0,20.32
3626,Brazil,Yams,2000,91522,1761.0,140423.0,26.82
3627,Brazil,Yams,2000,91522,1761.0,140423.0,18.65
3628,Brazil,Yams,2000,91522,1761.0,140423.0,25.71
3629,Brazil,Yams,2000,91522,1761.0,140423.0,24.36
3630,Brazil,Yams,2000,91522,1761.0,140423.0,25.35
3631,Brazil,Cassava,2001,135418,1761.0,151523.0,22.14
3632,Brazil,Cassava,2001,135418,1761.0,151523.0,20.96
3633,Brazil,Cassava,2001,135418,1761.0,151523.0,18.67
3634,Brazil,Cassava,2001,135418,1761.0,151523.0,18.67
3635,Brazil,Cassava,2001,135418,1761.0,151523.0,27.69
3636,Brazil,Cassava,2001,135418,1761.0,151523.0,20.96
3637,Brazil,Cassava,2001,135418,1761.0,151523.0,27.08
3638,Brazil,Cassava,2001,135418,1761.0,151523.0,19.73
3639,Brazil,Cassava,2001,135418,1761.0,151523.0,26.08
3640,Brazil,Cassava,2001,135418,1761.0,151523.0,24.99
3641,Brazil,Cassava,2001,135418,1761.0,151523.0,25.59
3642,Brazil,Maize,2001,34019,1761.0,151523.0,22.14
3643,Brazil,Maize,2001,34019,1761.0,151523.0,20.96
3644,Brazil,Maize,2001,34019,1761.0,151523.0,18.67
3645,Brazil,Maize,2001,34019,1761.0,151523.0,18.67
3646,Brazil,Maize,2001,34019,1761.0,151523.0,27.69
3647,Brazil,Maize,2001,34019,1761.0,151523.0,20.96
3648,Brazil,Maize,2001,34019,1761.0,151523.0,27.08
3649,Brazil,Maize,2001,34019,1761.0,151523.0,19.73
3650,Brazil,Maize,2001,34019,1761.0,151523.0,26.08
3651,Brazil,Maize,2001,34019,1761.0,151523.0,24.99
3652,Brazil,Maize,2001,34019,1761.0,151523.0,25.59
3653,Brazil,Potatoes,2001,184997,1761.0,151523.0,22.14
3654,Brazil,Potatoes,2001,184997,1761.0,151523.0,20.96
3655,Brazil,Potatoes,2001,184997,1761.0,151523.0,18.67
3656,Brazil,Potatoes,2001,184997,1761.0,151523.0,18.67
3657,Brazil,Potatoes,2001,184997,1761.0,151523.0,27.69
3658,Brazil,Potatoes,2001,184997,1761.0,151523.0,20.96
3659,Brazil,Potatoes,2001,184997,1761.0,151523.0,27.08
3660,Brazil,Potatoes,2001,184997,1761.0,151523.0,19.73
3661,Brazil,Potatoes,2001,184997,1761.0,151523.0,26.08
3662,Brazil,Potatoes,2001,184997,1761.0,151523.0,24.99
3663,Brazil,Potatoes,2001,184997,1761.0,151523.0,25.59
3664,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,22.14
3665,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,20.96
3666,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,18.67
3667,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,18.67
3668,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,27.69
3669,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,20.96
3670,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,27.08
3671,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,19.73
3672,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,26.08
3673,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,24.99
3674,Brazil,"Rice, paddy",2001,32405,1761.0,151523.0,25.59
3675,Brazil,Sorghum,2001,18654,1761.0,151523.0,22.14
3676,Brazil,Sorghum,2001,18654,1761.0,151523.0,20.96
3677,Brazil,Sorghum,2001,18654,1761.0,151523.0,18.67
3678,Brazil,Sorghum,2001,18654,1761.0,151523.0,18.67
3679,Brazil,Sorghum,2001,18654,1761.0,151523.0,27.69
3680,Brazil,Sorghum,2001,18654,1761.0,151523.0,20.96
3681,Brazil,Sorghum,2001,18654,1761.0,151523.0,27.08
3682,Brazil,Sorghum,2001,18654,1761.0,151523.0,19.73
3683,Brazil,Sorghum,2001,18654,1761.0,151523.0,26.08
3684,Brazil,Sorghum,2001,18654,1761.0,151523.0,24.99
3685,Brazil,Sorghum,2001,18654,1761.0,151523.0,25.59
3686,Brazil,Soybeans,2001,27105,1761.0,151523.0,22.14
3687,Brazil,Soybeans,2001,27105,1761.0,151523.0,20.96
3688,Brazil,Soybeans,2001,27105,1761.0,151523.0,18.67
3689,Brazil,Soybeans,2001,27105,1761.0,151523.0,18.67
3690,Brazil,Soybeans,2001,27105,1761.0,151523.0,27.69
3691,Brazil,Soybeans,2001,27105,1761.0,151523.0,20.96
3692,Brazil,Soybeans,2001,27105,1761.0,151523.0,27.08
3693,Brazil,Soybeans,2001,27105,1761.0,151523.0,19.73
3694,Brazil,Soybeans,2001,27105,1761.0,151523.0,26.08
3695,Brazil,Soybeans,2001,27105,1761.0,151523.0,24.99
3696,Brazil,Soybeans,2001,27105,1761.0,151523.0,25.59
3697,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,22.14
3698,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,20.96
3699,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,18.67
3700,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,18.67
3701,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,27.69
3702,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,20.96
3703,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,27.08
3704,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,19.73
3705,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,26.08
3706,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,24.99
3707,Brazil,Sweet potatoes,2001,113496,1761.0,151523.0,25.59
3708,Brazil,Wheat,2001,19488,1761.0,151523.0,22.14
3709,Brazil,Wheat,2001,19488,1761.0,151523.0,20.96
3710,Brazil,Wheat,2001,19488,1761.0,151523.0,18.67
3711,Brazil,Wheat,2001,19488,1761.0,151523.0,18.67
3712,Brazil,Wheat,2001,19488,1761.0,151523.0,27.69
3713,Brazil,Wheat,2001,19488,1761.0,151523.0,20.96
3714,Brazil,Wheat,2001,19488,1761.0,151523.0,27.08
3715,Brazil,Wheat,2001,19488,1761.0,151523.0,19.73
3716,Brazil,Wheat,2001,19488,1761.0,151523.0,26.08
3717,Brazil,Wheat,2001,19488,1761.0,151523.0,24.99
3718,Brazil,Wheat,2001,19488,1761.0,151523.0,25.59
3719,Brazil,Yams,2001,90385,1761.0,151523.0,22.14
3720,Brazil,Yams,2001,90385,1761.0,151523.0,20.96
3721,Brazil,Yams,2001,90385,1761.0,151523.0,18.67
3722,Brazil,Yams,2001,90385,1761.0,151523.0,18.67
3723,Brazil,Yams,2001,90385,1761.0,151523.0,27.69
3724,Brazil,Yams,2001,90385,1761.0,151523.0,20.96
3725,Brazil,Yams,2001,90385,1761.0,151523.0,27.08
3726,Brazil,Yams,2001,90385,1761.0,151523.0,19.73
3727,Brazil,Yams,2001,90385,1761.0,151523.0,26.08
3728,Brazil,Yams,2001,90385,1761.0,151523.0,24.99
3729,Brazil,Yams,2001,90385,1761.0,151523.0,25.59
3730,Brazil,Cassava,2002,137949,1761.0,145552.0,22.5
3731,Brazil,Cassava,2002,137949,1761.0,145552.0,21.3
3732,Brazil,Cassava,2002,137949,1761.0,145552.0,19.09
3733,Brazil,Cassava,2002,137949,1761.0,145552.0,19.09
3734,Brazil,Cassava,2002,137949,1761.0,145552.0,27.85
3735,Brazil,Cassava,2002,137949,1761.0,145552.0,21.3
3736,Brazil,Cassava,2002,137949,1761.0,145552.0,27.27
3737,Brazil,Cassava,2002,137949,1761.0,145552.0,19.49
3738,Brazil,Cassava,2002,137949,1761.0,145552.0,26.01
3739,Brazil,Cassava,2002,137949,1761.0,145552.0,25.18
3740,Brazil,Cassava,2002,137949,1761.0,145552.0,25.56
3741,Brazil,Maize,2002,30559,1761.0,145552.0,22.5
3742,Brazil,Maize,2002,30559,1761.0,145552.0,21.3
3743,Brazil,Maize,2002,30559,1761.0,145552.0,19.09
3744,Brazil,Maize,2002,30559,1761.0,145552.0,19.09
3745,Brazil,Maize,2002,30559,1761.0,145552.0,27.85
3746,Brazil,Maize,2002,30559,1761.0,145552.0,21.3
3747,Brazil,Maize,2002,30559,1761.0,145552.0,27.27
3748,Brazil,Maize,2002,30559,1761.0,145552.0,19.49
3749,Brazil,Maize,2002,30559,1761.0,145552.0,26.01
3750,Brazil,Maize,2002,30559,1761.0,145552.0,25.18
3751,Brazil,Maize,2002,30559,1761.0,145552.0,25.56
3752,Brazil,Potatoes,2002,194038,1761.0,145552.0,22.5
3753,Brazil,Potatoes,2002,194038,1761.0,145552.0,21.3
3754,Brazil,Potatoes,2002,194038,1761.0,145552.0,19.09
3755,Brazil,Potatoes,2002,194038,1761.0,145552.0,19.09
3756,Brazil,Potatoes,2002,194038,1761.0,145552.0,27.85
3757,Brazil,Potatoes,2002,194038,1761.0,145552.0,21.3
3758,Brazil,Potatoes,2002,194038,1761.0,145552.0,27.27
3759,Brazil,Potatoes,2002,194038,1761.0,145552.0,19.49
3760,Brazil,Potatoes,2002,194038,1761.0,145552.0,26.01
3761,Brazil,Potatoes,2002,194038,1761.0,145552.0,25.18
3762,Brazil,Potatoes,2002,194038,1761.0,145552.0,25.56
3763,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,22.5
3764,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,21.3
3765,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,19.09
3766,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,19.09
3767,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,27.85
3768,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,21.3
3769,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,27.27
3770,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,19.49
3771,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,26.01
3772,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,25.18
3773,Brazil,"Rice, paddy",2002,33246,1761.0,145552.0,25.56
3774,Brazil,Sorghum,2002,18573,1761.0,145552.0,22.5
3775,Brazil,Sorghum,2002,18573,1761.0,145552.0,21.3
3776,Brazil,Sorghum,2002,18573,1761.0,145552.0,19.09
3777,Brazil,Sorghum,2002,18573,1761.0,145552.0,19.09
3778,Brazil,Sorghum,2002,18573,1761.0,145552.0,27.85
3779,Brazil,Sorghum,2002,18573,1761.0,145552.0,21.3
3780,Brazil,Sorghum,2002,18573,1761.0,145552.0,27.27
3781,Brazil,Sorghum,2002,18573,1761.0,145552.0,19.49
3782,Brazil,Sorghum,2002,18573,1761.0,145552.0,26.01
3783,Brazil,Sorghum,2002,18573,1761.0,145552.0,25.18
3784,Brazil,Sorghum,2002,18573,1761.0,145552.0,25.56
3785,Brazil,Soybeans,2002,25739,1761.0,145552.0,22.5
3786,Brazil,Soybeans,2002,25739,1761.0,145552.0,21.3
3787,Brazil,Soybeans,2002,25739,1761.0,145552.0,19.09
3788,Brazil,Soybeans,2002,25739,1761.0,145552.0,19.09
3789,Brazil,Soybeans,2002,25739,1761.0,145552.0,27.85
3790,Brazil,Soybeans,2002,25739,1761.0,145552.0,21.3
3791,Brazil,Soybeans,2002,25739,1761.0,145552.0,27.27
3792,Brazil,Soybeans,2002,25739,1761.0,145552.0,19.49
3793,Brazil,Soybeans,2002,25739,1761.0,145552.0,26.01
3794,Brazil,Soybeans,2002,25739,1761.0,145552.0,25.18
3795,Brazil,Soybeans,2002,25739,1761.0,145552.0,25.56
3796,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,22.5
3797,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,21.3
3798,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,19.09
3799,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,19.09
3800,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,27.85
3801,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,21.3
3802,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,27.27
3803,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,19.49
3804,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,26.01
3805,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,25.18
3806,Brazil,Sweet potatoes,2002,113463,1761.0,145552.0,25.56
3807,Brazil,Wheat,2002,14754,1761.0,145552.0,22.5
3808,Brazil,Wheat,2002,14754,1761.0,145552.0,21.3
3809,Brazil,Wheat,2002,14754,1761.0,145552.0,19.09
3810,Brazil,Wheat,2002,14754,1761.0,145552.0,19.09
3811,Brazil,Wheat,2002,14754,1761.0,145552.0,27.85
3812,Brazil,Wheat,2002,14754,1761.0,145552.0,21.3
3813,Brazil,Wheat,2002,14754,1761.0,145552.0,27.27
3814,Brazil,Wheat,2002,14754,1761.0,145552.0,19.49
3815,Brazil,Wheat,2002,14754,1761.0,145552.0,26.01
3816,Brazil,Wheat,2002,14754,1761.0,145552.0,25.18
3817,Brazil,Wheat,2002,14754,1761.0,145552.0,25.56
3818,Brazil,Yams,2002,92000,1761.0,145552.0,22.5
3819,Brazil,Yams,2002,92000,1761.0,145552.0,21.3
3820,Brazil,Yams,2002,92000,1761.0,145552.0,19.09
3821,Brazil,Yams,2002,92000,1761.0,145552.0,19.09
3822,Brazil,Yams,2002,92000,1761.0,145552.0,27.85
3823,Brazil,Yams,2002,92000,1761.0,145552.0,21.3
3824,Brazil,Yams,2002,92000,1761.0,145552.0,27.27
3825,Brazil,Yams,2002,92000,1761.0,145552.0,19.49
3826,Brazil,Yams,2002,92000,1761.0,145552.0,26.01
3827,Brazil,Yams,2002,92000,1761.0,145552.0,25.18
3828,Brazil,Yams,2002,92000,1761.0,145552.0,25.56
3829,Brazil,Cassava,2004,136343,1761.0,214725.0,21.59
3830,Brazil,Cassava,2004,136343,1761.0,214725.0,20.05
3831,Brazil,Cassava,2004,136343,1761.0,214725.0,17.88
3832,Brazil,Cassava,2004,136343,1761.0,214725.0,17.88
3833,Brazil,Cassava,2004,136343,1761.0,214725.0,27.72
3834,Brazil,Cassava,2004,136343,1761.0,214725.0,20.05
3835,Brazil,Cassava,2004,136343,1761.0,214725.0,27.24
3836,Brazil,Cassava,2004,136343,1761.0,214725.0,18.75
3837,Brazil,Cassava,2004,136343,1761.0,214725.0,25.94
3838,Brazil,Cassava,2004,136343,1761.0,214725.0,24.24
3839,Brazil,Cassava,2004,136343,1761.0,214725.0,25.37
3840,Brazil,Maize,2004,33671,1761.0,214725.0,21.59
3841,Brazil,Maize,2004,33671,1761.0,214725.0,20.05
3842,Brazil,Maize,2004,33671,1761.0,214725.0,17.88
3843,Brazil,Maize,2004,33671,1761.0,214725.0,17.88
3844,Brazil,Maize,2004,33671,1761.0,214725.0,27.72
3845,Brazil,Maize,2004,33671,1761.0,214725.0,20.05
3846,Brazil,Maize,2004,33671,1761.0,214725.0,27.24
3847,Brazil,Maize,2004,33671,1761.0,214725.0,18.75
3848,Brazil,Maize,2004,33671,1761.0,214725.0,25.94
3849,Brazil,Maize,2004,33671,1761.0,214725.0,24.24
3850,Brazil,Maize,2004,33671,1761.0,214725.0,25.37
3851,Brazil,Potatoes,2004,213525,1761.0,214725.0,21.59
3852,Brazil,Potatoes,2004,213525,1761.0,214725.0,20.05
3853,Brazil,Potatoes,2004,213525,1761.0,214725.0,17.88
3854,Brazil,Potatoes,2004,213525,1761.0,214725.0,17.88
3855,Brazil,Potatoes,2004,213525,1761.0,214725.0,27.72
3856,Brazil,Potatoes,2004,213525,1761.0,214725.0,20.05
3857,Brazil,Potatoes,2004,213525,1761.0,214725.0,27.24
3858,Brazil,Potatoes,2004,213525,1761.0,214725.0,18.75
3859,Brazil,Potatoes,2004,213525,1761.0,214725.0,25.94
3860,Brazil,Potatoes,2004,213525,1761.0,214725.0,24.24
3861,Brazil,Potatoes,2004,213525,1761.0,214725.0,25.37
3862,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,21.59
3863,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,20.05
3864,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,17.88
3865,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,17.88
3866,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,27.72
3867,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,20.05
3868,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,27.24
3869,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,18.75
3870,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,25.94
3871,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,24.24
3872,Brazil,"Rice, paddy",2004,35565,1761.0,214725.0,25.37
3873,Brazil,Sorghum,2004,23187,1761.0,214725.0,21.59
3874,Brazil,Sorghum,2004,23187,1761.0,214725.0,20.05
3875,Brazil,Sorghum,2004,23187,1761.0,214725.0,17.88
3876,Brazil,Sorghum,2004,23187,1761.0,214725.0,17.88
3877,Brazil,Sorghum,2004,23187,1761.0,214725.0,27.72
3878,Brazil,Sorghum,2004,23187,1761.0,214725.0,20.05
3879,Brazil,Sorghum,2004,23187,1761.0,214725.0,27.24
3880,Brazil,Sorghum,2004,23187,1761.0,214725.0,18.75
3881,Brazil,Sorghum,2004,23187,1761.0,214725.0,25.94
3882,Brazil,Sorghum,2004,23187,1761.0,214725.0,24.24
3883,Brazil,Sorghum,2004,23187,1761.0,214725.0,25.37
3884,Brazil,Soybeans,2004,23005,1761.0,214725.0,21.59
3885,Brazil,Soybeans,2004,23005,1761.0,214725.0,20.05
3886,Brazil,Soybeans,2004,23005,1761.0,214725.0,17.88
3887,Brazil,Soybeans,2004,23005,1761.0,214725.0,17.88
3888,Brazil,Soybeans,2004,23005,1761.0,214725.0,27.72
3889,Brazil,Soybeans,2004,23005,1761.0,214725.0,20.05
3890,Brazil,Soybeans,2004,23005,1761.0,214725.0,27.24
3891,Brazil,Soybeans,2004,23005,1761.0,214725.0,18.75
3892,Brazil,Soybeans,2004,23005,1761.0,214725.0,25.94
3893,Brazil,Soybeans,2004,23005,1761.0,214725.0,24.24
3894,Brazil,Soybeans,2004,23005,1761.0,214725.0,25.37
3895,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,21.59
3896,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,20.05
3897,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,17.88
3898,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,17.88
3899,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,27.72
3900,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,20.05
3901,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,27.24
3902,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,18.75
3903,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,25.94
3904,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,24.24
3905,Brazil,Sweet potatoes,2004,114957,1761.0,214725.0,25.37
3906,Brazil,Wheat,2004,20728,1761.0,214725.0,21.59
3907,Brazil,Wheat,2004,20728,1761.0,214725.0,20.05
3908,Brazil,Wheat,2004,20728,1761.0,214725.0,17.88
3909,Brazil,Wheat,2004,20728,1761.0,214725.0,17.88
3910,Brazil,Wheat,2004,20728,1761.0,214725.0,27.72
3911,Brazil,Wheat,2004,20728,1761.0,214725.0,20.05
3912,Brazil,Wheat,2004,20728,1761.0,214725.0,27.24
3913,Brazil,Wheat,2004,20728,1761.0,214725.0,18.75
3914,Brazil,Wheat,2004,20728,1761.0,214725.0,25.94
3915,Brazil,Wheat,2004,20728,1761.0,214725.0,24.24
3916,Brazil,Wheat,2004,20728,1761.0,214725.0,25.37
3917,Brazil,Yams,2004,92345,1761.0,214725.0,21.59
3918,Brazil,Yams,2004,92345,1761.0,214725.0,20.05
3919,Brazil,Yams,2004,92345,1761.0,214725.0,17.88
3920,Brazil,Yams,2004,92345,1761.0,214725.0,17.88
3921,Brazil,Yams,2004,92345,1761.0,214725.0,27.72
3922,Brazil,Yams,2004,92345,1761.0,214725.0,20.05
3923,Brazil,Yams,2004,92345,1761.0,214725.0,27.24
3924,Brazil,Yams,2004,92345,1761.0,214725.0,18.75
3925,Brazil,Yams,2004,92345,1761.0,214725.0,25.94
3926,Brazil,Yams,2004,92345,1761.0,214725.0,24.24
3927,Brazil,Yams,2004,92345,1761.0,214725.0,25.37
3928,Brazil,Cassava,2005,136059,1761.0,232232.0,22.05
3929,Brazil,Cassava,2005,136059,1761.0,232232.0,20.78
3930,Brazil,Cassava,2005,136059,1761.0,232232.0,18.53
3931,Brazil,Cassava,2005,136059,1761.0,232232.0,18.53
